Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,_id
2025-04-08,UPI,festivals,Holi,Train ticket,4488.23,Expense,INR,
2025-06-15,Netbanking,subscription,DishTV,Train ticket,2317.56,Expense,INR,
2025-01-24,UPI,health,Medicine,Festival shopping,1490.19,Expense,INR,
7/5/2018,Cash,food,Milk,milk 1lit ,72.0,Expense,INR,
2025-04-07,Debit Card,public provident fund,Public Provident Fund,Train ticket,4601.7,Expense,INR,
2025-02-16,Debit Card,food,Lunch,Movie night,721.41,Expense,INR,
2025-01-13,Cash,household,Appliances,Subscription renewal,1856.89,Expense,INR,
8/6/2017,Cash,transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,
23/10/2017 19:00:08,Cash,apparel,Footwear,Slippers,220.0,Expense,INR,
2025-02-14,Cash,transportation,Train,Medical bill,2139.28,Expense,INR,
2025-01-10,Debit Card,family,Pocket money,Medical bill,3459.7,Expense,INR,
2025-04-03,Netbanking,subscription,Airtel,Medical bill,3951.63,Expense,INR,
2025-02-21,Debit Card,apparel,Footwear,Subscription renewal,3881.99,Expense,INR,
2025-05-25,Debit Card,education,Stationary,Train ticket,3804.77,Expense,INR,
2025-05-29,Credit Card,education,Stationary,Lunch at cafe,4020.14,Expense,INR,
27/10/2015 07:48:06,Saving Bank account 1,other,,audible subscription,199.0,Expense,INR,
2025-03-26,Netbanking,beauty,grooming,Festival shopping,4172.11,Expense,INR,
2025-03-08,Cash,tourism,Trip,Medical bill,3844.5,Expense,INR,
2025-02-24,Debit Card,self-development,Self-development,Online course,4791.62,Expense,INR,
4/5/2018,Cash,household,Kirana,Supermart,37.0,Expense,INR,
