Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
31/08/2018 09:27:28,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
31/08/2018 09:26:17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
30/08/2018 21:10:24,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR
30/08/2018 21:09:51,Cash,Household,Kirana,Supermart,343.0,Expense,INR
29/08/2018 12:21:49,Cash,Food,Grocery,Baking soda,27.0,Expense,INR
29/08/2018 12:21:49,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
29/08/2018 12:11:41,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
28/08/2018 21:04:56,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR
28/08/2018 19:16:09,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18.0,Income,INR
27/08/2018 21:30:16,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
27/08/2018 10:52:51,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR
27/08/2018 10:52:30,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR
27/08/2018 10:52:09,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
26/08/2018 21:04:46,Saving Bank account 1,Interest,,interest paid,30.0,Income,INR
25/08/2018 21:04:46,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
24/08/2018 22:13:43,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR
24/08/2018 22:12:17,Saving Bank account 1,Other,,From Family,1000.0,Income,INR
24/08/2018 20:20:37,Cash,Food,Rajgira ladu,,20.0,Expense,INR
24/08/2018 20:17:09,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
24/08/2018 13:34:14,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR
23/08/2018 21:29:52,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
23/08/2018 21:29:12,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
23/08/2018 19:55:33,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR
22/08/2018 22:31:36,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
22/08/2018,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR
21/08/2018 16:15:46,Cash,Food,Tea,cutting chai,12.0,Expense,INR
21/08/2018 16:15:20,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
19/08/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
17/08/2018 20:06:32,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR
17/08/2018 19:21:17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
17/08/2018 12:40:28,Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,22.0,Income,INR
16/08/2018 19:08:01,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
15/08/2018 09:44:05,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR
15/08/2018 09:11:44,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
14/08/2018 10:59:46,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124.0,Income,INR
14/08/2018 10:04:52,Cash,Family,Pocket money,,30.0,Expense,INR
14/08/2018 09:51:30,Cash,Food,snacks,Dahi,32.0,Expense,INR
14/08/2018 09:50:12,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR
14/08/2018 09:48:42,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR
14/08/2018 09:46:54,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR
13/08/2018 18:37:27,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
13/08/2018 18:36:01,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR
13/08/2018 18:35:18,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR
13/08/2018 18:33:36,Cash,Household,Kirana,Supermart,594.0,Expense,INR
13/08/2018 10:04:36,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
13/08/2018 10:04:23,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
13/08/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
13/08/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
11/8/2018,Cash,Food,snacks,8 kachori,96.0,Expense,INR
10/8/2018,Cash,Family,Pocket money,,35.0,Expense,INR
7/8/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
6/8/2018,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
5/8/2018,Cash,Family,Pocket money,,100.0,Expense,INR
5/8/2018,Cash,Food,Tea,cutting chai,10.0,Expense,INR
5/8/2018,Credit Card,Health,Health,eyewear Glasses payment remaining,4300.0,Expense,INR
5/8/2018,Credit Card,Apparel,Clothing,For Family,3410.0,Expense,INR
5/8/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
5/8/2018,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
5/8/2018,Credit Card,Family,clothes,Bows,398.0,Expense,INR
3/8/2018,Saving Bank account 1,Other,,From Family,100.0,Income,INR
3/8/2018,Cash,Family,Pocket money,,2000.0,Expense,INR
3/8/2018,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180.0,Income,INR
2/8/2018,Cash,Household,Kirana,Supermart,18.0,Expense,INR
2/8/2018,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2/8/2018,Cash,Health,Health,eyewear Glasses advance,1000.0,Expense,INR
1/8/2018,Cash,Family,Pocket money,,40.0,Expense,INR
1/8/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
1/8/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
31/07/2018 21:52:08,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
31/07/2018 18:01:20,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR
31/07/2018 13:45:08,Cash,maid,,July salary,2000.0,Expense,INR
31/07/2018 13:44:15,Cash,Food,chocolate,10 melody,10.0,Expense,INR
31/07/2018 09:05:17,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
30/07/2018 18:44:23,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR
30/07/2018 13:19:56,Cash,Health,Medicine,,132.0,Expense,INR
30/07/2018 13:19:36,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR
30/07/2018 11:49:11,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR
29/07/2018 19:29:54,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR
29/07/2018 15:52:47,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR
29/07/2018 11:39:53,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
29/07/2018 11:38:08,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR
29/07/2018 10:12:59,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR
28/07/2018 23:42:57,Cash,Family,Pocket money,,200.0,Expense,INR
28/07/2018 23:42:57,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
28/07/2018 21:30:49,Cash,Food,vegetables,,195.0,Expense,INR
28/07/2018 20:45:00,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR
27/07/2018 18:39:39,Saving Bank account 1,Other,,Demat account charges,826.0,Expense,INR
26/07/2018 23:06:09,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR
26/07/2018 13:44:31,Saving Bank account 1,Tax refund,,,6780.0,Income,INR
23/07/2018 12:49:29,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
23/07/2018 12:33:32,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR
21/07/2018 19:02:36,Cash,Household,Kirana,Supermart,368.0,Expense,INR
21/07/2018 19:02:16,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR
21/07/2018 18:37:38,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR
21/07/2018 08:42:11,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
20/07/2018 19:59:46,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
20/07/2018 19:59:08,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
20/07/2018 19:58:46,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR
20/07/2018 13:06:14,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR
20/07/2018 12:29:28,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR
20/07/2018 09:11:48,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR
19/07/2018 20:25:13,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR
18/07/2018 20:26:03,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
16/07/2018 17:51:56,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR
16/07/2018 10:43:53,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR
16/07/2018 10:41:01,Cash,Food,snacks,7 kachori,84.0,Expense,INR
15/07/2018 19:12:57,Cash,Food,fruits,,30.0,Expense,INR
15/07/2018 18:01:59,Cash,Food,vegetables,,500.0,Expense,INR
15/07/2018 09:41:01,Cash,Food,snacks,4 kachori,48.0,Expense,INR
14/07/2018 18:10:13,Saving Bank account 1,Other,,CA  - income tax filing,2000.0,Expense,INR
13/07/2018 14:02:44,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR
13/07/2018 09:36:19,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR
13/07/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
13/07/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
12/7/2018,Cash,Food,Eggs,6 eggs,35.0,Expense,INR
11/7/2018,Cash,Food,Bread,2 bread packets,57.0,Expense,INR
10/7/2018,Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,180.0,Income,INR
9/7/2018,Cash,Transportation,Petrol,3.4 Lit Petrol,360.0,Expense,INR
9/7/2018,Cash,Food,Biscuits,Toast packet,20.0,Expense,INR
9/7/2018,Cash,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
8/7/2018,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,Expense,INR
8/7/2018,Saving Bank account 1,Food,Tea,3 cutting chai,30.0,Expense,INR
8/7/2018,Credit Card,Health,Medicine,eye drop,153.0,Expense,INR
8/7/2018,Cash,Health,Hospital,Hospital consultation,500.0,Expense,INR
8/7/2018,Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130.0,Expense,INR
8/7/2018,Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,675.0,Expense,INR
7/7/2018,Cash,Transportation,Train,Place 4 to Place 0,10.0,Expense,INR
7/7/2018,Credit Card,Food,Lunch,At restaurant,2.0,Expense,INR
7/7/2018,Saving Bank account 1,subscription,Mahanagar Gas,,196.0,Expense,INR
7/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
6/7/2018,Cash,Food,Dinner,At restaurant,760.0,Expense,INR
6/7/2018,Cash,Transportation,Taxi,Park Inn Goa,100.0,Expense,INR
5/7/2018,Cash,Transportation,auto,Terminal 1 to Terminal 2,83.0,Expense,INR
5/7/2018,Cash,Food,Tea,cutting chai,7.0,Expense,INR
5/7/2018,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
5/7/2018,Cash,Transportation,Train,Place 0 to Place P,20.0,Expense,INR
4/7/2018,Cash,Health,Hospital,Doctor Fees,100.0,Expense,INR
4/7/2018,Cash,Beauty,grooming,Shaving,50.0,Expense,INR
4/7/2018,Cash,Family,Pocket money,,350.0,Expense,INR
4/7/2018,Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Expense,INR
3/7/2018,Cash,maid,,,500.0,Expense,INR
3/7/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
3/7/2018,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
3/7/2018,Saving Bank account 1,Dividend earned on Shares,,Infosys Stocks,52.5,Income,INR
3/7/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
2/7/2018,Saving Bank account 1,Household,Kirana,Supermart,1595.0,Expense,INR
2/7/2018,Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,50.0,Expense,INR
2/7/2018,Cash,Transportation,Bus,2 Place 6 Stand to MS,20.0,Expense,INR
2/7/2018,Credit Card,Household,home decor,Face towels + shampoo,626.0,Expense,INR
2/7/2018,Cash,Transportation,Bus,2 Place 1 to  mall,26.0,Expense,INR
2/7/2018,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,40.0,Expense,INR
1/7/2018,Debit Card,Culture,Movie,2 PVR ,461.0,Expense,INR
1/7/2018,Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Expense,INR
1/7/2018,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
1/7/2018,Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,430.0,Expense,INR
1/7/2018,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
1/7/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
1/7/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
1/7/2018,Saving Bank account 1,Money transfer,Home,,10000.0,Expense,INR
30/06/2018 18:47:45,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR
30/06/2018 08:45:37,Saving Bank account 1,Dividend earned on Shares,,Asian paints Stocks,43.0,Income,INR
30/06/2018 08:45:18,Saving Bank account 1,Interest,,interest paid,342.0,Income,INR
30/06/2018 08:44:48,Saving Bank account 1,Salary,,From workplace ,65122.0,Income,INR
29/06/2018 17:01:00,Saving Bank account 1,Dividend earned on Shares,,HUL Stocks,44.0,Income,INR
29/06/2018 16:13:02,Cash,Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR
29/06/2018 16:10:41,Cash,Household,Kitchen,Math tap repair,50.0,Expense,INR
29/06/2018 15:28:46,Cash,Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR
28/06/2018 20:44:36,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR
28/06/2018 18:35:52,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR
28/06/2018 15:06:59,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR
28/06/2018 10:08:21,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR
27/06/2018 21:32:27,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR
27/06/2018 19:11:09,Saving Bank account 1,Other,,From Family,3000.0,Income,INR
27/06/2018 18:53:54,Cash,Food,Tea,2 cups,14.0,Expense,INR
27/06/2018 18:48:45,Cash,Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR
27/06/2018 18:46:33,Credit Card,Other,,Shopping at Alfa,4720.0,Expense,INR
27/06/2018 18:46:48,Cash,Household,gadgets,Mouse pad,100.0,Expense,INR
27/06/2018 18:43:23,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR
27/06/2018 18:19:27,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR
27/06/2018 18:18:28,Cash,Transportation,auto,Place P station to Alfa market,25.0,Expense,INR
27/06/2018 14:00:32,Cash,Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR
27/06/2018 13:59:52,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
27/06/2018 06:30:08,Share Market Trading,Saving Bank account 1,,Refund,2549.59,Transfer-Out,INR
26/06/2018 19:47:42,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
26/06/2018 19:47:42,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR
26/06/2018 17:25:23,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR
26/06/2018 12:49:54,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70.0,Expense,INR
26/06/2018 11:47:08,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
26/06/2018 11:45:49,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
26/06/2018 11:44:48,Cash,Food,snacks,Bhaji + vadapav,30.0,Expense,INR
25/06/2018 15:09:49,Saving Bank account 1,Food,Lunch,Home Food Delivery,320.0,Expense,INR
25/06/2018 14:23:22,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR
24/06/2018 16:11:39,Cash,Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR
24/06/2018 16:11:17,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
24/06/2018 16:11:07,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
24/06/2018 14:37:00,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR
24/06/2018 13:31:06,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
24/06/2018 11:29:20,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
24/06/2018 11:00:13,Cash,Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR
23/06/2018 19:25:22,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR
23/06/2018 10:15:35,Cash,Transportation,auto,,30.0,Expense,INR
22/06/2018 15:32:22,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
19/06/2018 13:24:01,Saving Bank account 1,Family,Pocket money,,2000.0,Expense,INR
19/06/2018 10:25:47,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
18/06/2018 22:18:59,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
16/06/2018 09:01:39,Saving Bank account 1,Share Market,,,8500.0,Transfer-Out,INR
15/06/2018 21:19:39,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
15/06/2018 09:24:33,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR
13/06/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
13/06/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
11/6/2018,Cash,Food,Eggs,12 eggs,84.0,Expense,INR
11/6/2018,Credit Card,Self-development,,Marathon,1407.0,Expense,INR
10/6/2018,Saving Bank account 1,Household,home decor,Sofa covers,3000.0,Expense,INR
9/6/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
7/6/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
1/6/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
1/6/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
31/05/2018 08:47:33,Saving Bank account 1,Salary,,From workplace ,65134.0,Income,INR
30/05/2018 07:42:56,Saving Bank account 1,Dividend earned on Shares,,HDFC Stocks,88.0,Income,INR
28/05/2018 14:11:17,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
28/05/2018 10:41:59,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
27/05/2018 10:50:10,Saving Bank account 2,Interest,,interest paid,28.0,Income,INR
27/05/2018 10:50:10,Cash,Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR
26/05/2018 07:55:09,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR
24/05/2018 09:04:01,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
23/05/2018 21:20:18,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR
22/05/2018 20:47:36,Cash,Health,Health,2 All out refill,154.0,Expense,INR
22/05/2018,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR
21/05/2018 14:06:05,Cash,Family,Pocket money,,140.0,Expense,INR
20/05/2018 14:06:20,Saving Bank account 1,Family,misc,"Soap, shampoo, razor",122.0,Expense,INR
19/05/2018 19:26:19,Cash,Household,Kitchen,flour mill,25.0,Expense,INR
19/05/2018 15:17:18,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
18/05/2018 15:35:49,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
15/05/2018 20:11:58,Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,135.0,Expense,INR
15/05/2018 20:11:12,Cash,Transportation,auto,within city,30.0,Expense,INR
15/05/2018 20:10:10,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500.0,Expense,INR
15/05/2018 18:43:55,Cash,Transportation,auto,Permanent Residence to GH road,50.0,Expense,INR
14/05/2018 23:09:55,Saving Bank account 1,Amazon pay cashback,,,21.0,Income,INR
14/05/2018 23:08:45,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
14/05/2018 22:49:32,Cash,Other,,Digilock room charges,40.0,Expense,INR
14/05/2018 22:49:07,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
14/05/2018 18:01:15,Cash,Food,snacks,Potato chips,15.0,Expense,INR
14/05/2018 12:55:41,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR
14/05/2018 09:47:57,Cash,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
14/05/2018 09:47:13,Cash,Transportation,auto,2 Current Residence to Place 0,40.0,Expense,INR
13/05/2018 20:18:01,Cash,Apparel,Laundry,clothes ironing,77.0,Expense,INR
13/05/2018 20:16:54,Cash,Education,Stationary,Gel pen Refills,12.0,Expense,INR
13/05/2018 00:06:05,Cash,scrap,,,20.0,Income,INR
13/05/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
13/05/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
12/5/2018,Credit Card,Food,Dinner,Domino's Pizza,437.0,Expense,INR
12/5/2018,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
12/5/2018,Cash,Food,snacks,4 kachori,48.0,Expense,INR
12/5/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
11/5/2018,Cash,Food,Rajgira ladu,1 packet,20.0,Expense,INR
10/5/2018,Saving Bank account 1,Food,Ice cream,2 Faluda,80.0,Expense,INR
10/5/2018,Saving Bank account 1,Other,,NEFT from Big Share Services,947.0,Income,INR
9/5/2018,Cash,subscription,Newspaper,Mata + TOI + ET,12.0,Expense,INR
9/5/2018,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
9/5/2018,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
9/5/2018,Credit Card,subscription,Netflix,,199.0,Expense,INR
8/5/2018,Cash,Food,Sweets,Kaju katli half kg,500.0,Expense,INR
8/5/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
8/5/2018,Cash,Beauty,grooming,Shaving,50.0,Expense,INR
7/5/2018,Credit Card,Household,Toiletries,Handwash container2 + window cleaner,1086.0,Expense,INR
7/5/2018,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
7/5/2018,Saving Bank account 1,subscription,Mahanagar Gas,,515.0,Expense,INR
7/5/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,430.0,Expense,INR
7/5/2018,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
7/5/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
6/5/2018,Saving Bank account 1,Other,,From Family,3000.0,Income,INR
5/5/2018,Cash,Family,Pocket money,,600.0,Expense,INR
4/5/2018,Cash,Household,Kirana,Supermart,37.0,Expense,INR
4/5/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
3/5/2018,Saving Bank account 1,Food,snacks,Bhaji + vadapav,40.0,Expense,INR
2/5/2018,Saving Bank account 1,Food,fruits,Mango 1.5 kg,280.0,Expense,INR
1/5/2018,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
