Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,_id
10/11/2017,Saving Bank account 1,equity mutual fund f,,,1000.0,Transfer-Out,INR,
2025-05-13,Credit Card,recurring deposit,Recurring Deposit,Bought groceries,217.95,Expense,INR,
2025-03-12,UPI,household,Kirana,Medical bill,3688.29,Expense,INR,
2025-02-08,Netbanking,transportation,Train,Paid bill,4258.06,Expense,INR,
28/02/2017 22:09:39,Cash,transportation,Bus,BEST 138 - Marine drive to Place 3m,12.0,Expense,INR,
11/5/2017,Saving Bank account 1,subscription,Tata Sky,,230.0,Expense,INR,
2025-06-23,Debit Card,apparel,Clothing,Train ticket,3644.15,Expense,INR,
2025-06-23,Cash,investment,Mutual fund,Online course,1591.67,Expense,INR,
2025-03-19,Debit Card,household,Kirana,UPI transfer,804.96,Expense,INR,
2025-03-20,Cash,health,Medicine,Paid bill,1142.43,Expense,INR,
23/03/2018 19:48:39,Cash,culture,Books,Finding next Job,100.0,Expense,INR,
2025-04-29,UPI,money transfer,Money transfer,Train ticket,2535.89,Expense,INR,
2025-01-22,Credit Card,other,Donation,Paid bill,1629.01,Expense,INR,
2025-02-24,Netbanking,apparel,Clothing,Medical bill,914.63,Expense,INR,
16/07/2018 17:51:56,Cash,apparel,Laundry,12 clothes ironing,84.0,Expense,INR,
2025-06-21,Debit Card,food,Dinner,Subscription renewal,4027.28,Expense,INR,
2025-05-08,UPI,subscription,Netflix,Festival shopping,149.0,Expense,INR,
21/01/2015 18:17:03,Cash,food,,grocery,120.0,Expense,INR,
2025-01-21,Cash,family,Pocket money,Subscription renewal,1464.68,Expense,INR,
2024-12-26,Cash,food,Lunch,Paid bill,303.05,Expense,INR,
2025-02-11,Credit Card,self-development,Self-development,UPI transfer,117.75,Expense,INR,
2025-02-01,UPI,festivals,Holi,Medical bill,4876.28,Expense,INR,
11/4/2016,Saving Bank account 1,subscription,Mobile Service Provider,,251.0,Expense,INR,
2025-04-24,UPI,public provident fund,Public Provident Fund,Paid bill,2299.86,Expense,INR,
2025-02-21,UPI,money transfer,Money transfer,Train ticket,650.71,Expense,INR,
30/07/2017 14:20:18,Cash,food,snacks,Chicken roll kasha,100.0,Expense,INR,
2/1/2015,Cash,food,,grocery,66.0,Expense,INR,
2025-02-11,Debit Card,household,Appliances,Train ticket,3818.76,Expense,INR,
2025-06-13,Cash,water (jar /tanker),water (jar /tanker),Movie night,4360.94,Expense,INR,
2025-06-09,Debit Card,beauty,grooming,UPI transfer,3140.35,Expense,INR,
24/01/2015 16:17:57,Cash,food,,tea,30.0,Expense,INR,
2025-05-11,Credit Card,transportation,Taxi,Paid bill,3439.66,Expense,INR,
2025-02-13,Netbanking,beauty,grooming,Subscription renewal,1587.56,Expense,INR,
31/03/2017 21:07:22,Cash,transportation,Taxi,siddhivinayak to shiv sena bhavan,30.0,Expense,INR,
6/9/2016,Saving Bank account 1,transportation,Travels,Place 6 to Place 2,598.5,Expense,INR,
2025-02-23,Cash,festivals,Diwali,Paid bill,4671.14,Expense,INR,
2025-03-31,Cash,subscription,Edtech Course,Online course,1627.93,Expense,INR,
2025-01-24,UPI,other,Donation,Medical bill,1175.56,Expense,INR,
2025-01-05,UPI,food,Lunch,Medical bill,1828.18,Expense,INR,
2025-03-21,Netbanking,social life,Leisure,Online course,4380.64,Expense,INR,
2025-03-25,Netbanking,food,snacks,Movie night,4321.08,Expense,INR,
2025-06-06,UPI,household,Appliances,Medical bill,3232.04,Expense,INR,
2025-01-28,Debit Card,recurring deposit,Recurring Deposit,UPI transfer,302.8,Expense,INR,
2025-04-09,Netbanking,food,Dinner,Movie night,607.68,Expense,INR,
19/06/2017 10:19:53,Saving Bank account 1,food,Grocery,Amul malai paneer pav kg,80.0,Expense,INR,
2025-06-16,UPI,food,Dinner,Train ticket,1119.77,Expense,INR,
2025-06-13,UPI,subscription,Spotify,Bought groceries,149.0,Expense,INR,
2025-05-29,Credit Card,gift,Gift,Festival shopping,2269.99,Expense,INR,
2025-04-18,Cash,festivals,Holi,Paid bill,3028.61,Expense,INR,
2025-02-13,Credit Card,self-development,Self-development,UPI transfer,1354.89,Expense,INR,
28/02/2015 11:33:42,Cash,food,Milk,,26.0,Expense,INR,
2025-03-27,Netbanking,subscription,Airtel,Medical bill,4930.19,Expense,INR,
2025-06-01,Credit Card,subscription,Tata Sky,Festival shopping,1643.04,Expense,INR,
10/11/2015,Saving Bank account 1,recurring deposit,,,1000.0,Expense,INR,
19/07/2017 08:44:20,Saving Bank account 1,food,Milk,Half lit  milk,32.0,Expense,INR,
2025-01-27,Netbanking,tourism,Trip,Train ticket,4146.37,Expense,INR,
31/01/2015 16:14:27,Cash,food,,bananas,20.0,Expense,INR,
2024-12-31,Netbanking,household,Appliances,Festival shopping,575.64,Expense,INR,
2025-06-27 23:41:04,Cash,food,Sweets,,1000.0,Expense,INR,685edeb88b0cbb213aa84671
2024-12-30,Netbanking,food,Milk,Movie night,1492.98,Expense,INR,
2025-06-27 23:41:04,Cash,food,Sweets,,1000.0,Expense,INR,685edeb88b0cbb213aa84671
11/8/2017,Cash,transportation,auto,within city,100.0,Expense,INR,
20/06/2017 21:08:28,Saving Bank account 1,gift,,Cupcake mould,250.0,Expense,INR,
2025-04-30,Netbanking,recurring deposit,Recurring Deposit,Subscription renewal,3301.84,Expense,INR,
2025-01-28,UPI,transportation,Train,Train ticket,2186.06,Expense,INR,
2025-02-20,Netbanking,subscription,Edtech Course,Medical bill,4164.79,Expense,INR,
2025-06-15,Debit Card,subscription,Edtech Course,Festival shopping,1002.53,Expense,INR,
5/1/2016,Cash,transportation,auto,grandparents to Permanent Residence,30.0,Expense,INR,
2025-05-26,UPI,grooming,Saloon,Bought groceries,458.35,Expense,INR,
2025-05-17,Credit Card,apparel,Footwear,Lunch at cafe,4863.72,Income,INR,
2025-03-24,Debit Card,rent,Rent,Online course,2252.76,Expense,INR,
26/02/2018 18:25:59,Credit Card,transportation,Bike,First servicing,443.0,Expense,INR,
2025-04-17,Netbanking,food,Milk,Paid bill,155.96,Expense,INR,
2025-04-23,Debit Card,transportation,auto,Movie night,2110.92,Expense,INR,
5/5/2017,Saving Bank account 1,recurring deposit,,,1000.0,Transfer-Out,INR,
2025-05-12,Credit Card,self-development,Self-development,Movie night,1035.44,Expense,INR,
2025-06-21,Cash,money transfer,Money transfer,Festival shopping,2393.48,Expense,INR,
2025-03-06,Netbanking,water (jar /tanker),water (jar /tanker),Bought groceries,502.69,Expense,INR,
2025-01-29,UPI,transportation,Train,Paid bill,2538.25,Expense,INR,
12/12/2017,Credit Card,food,snacks,Double chicken shwarma,100.0,Expense,INR,
2025-04-17,UPI,subscription,Airtel,Train ticket,1347.27,Expense,INR,
24/05/2017 08:46:43,Saving Bank account 1,subscription,Cable TV,,261.0,Expense,INR,
26/01/2016 19:46:26,Saving Bank account 1,subscription,Audible,audible subscription,199.0,Expense,INR,
5/5/2016,Saving Bank account 1,investment,Mutual fund,Mutual fund A,1000.0,Expense,INR,
29/06/2015 09:53:35,Saving Bank account 1,other,,Amazon prime,199.0,Expense,INR,
2025-01-21,Debit Card,recurring deposit,Recurring Deposit,Movie night,3194.38,Expense,INR,
2025-01-13,Debit Card,other,Donation,Bought groceries,3815.16,Expense,INR,
2025-01-16,Cash,gift,Gift,Subscription renewal,4973.1,Expense,INR,
2025-03-18,Cash,food,Milk,Train ticket,3537.23,Expense,INR,
2025-06-16,Credit Card,investment,Mutual fund,Bought groceries,3561.29,Expense,INR,
2025-04-04,Netbanking,food,Dinner,Bought groceries,3596.95,Expense,INR,
2025-01-15,Cash,food,Grocery,Paid bill,2919.35,Expense,INR,
2024-12-26,Credit Card,subscription,DishTV,Online course,4488.84,Expense,INR,
10/3/2015,Cash,transportation,Train,Place 0 to Bandra,20.0,Expense,INR,
2025-06-11,Credit Card,household,Kirana,Subscription renewal,234.02,Expense,INR,
2025-02-03,UPI,subscription,Edtech Course,Paid bill,4877.06,Expense,INR,
2025-05-08,Credit Card,food,Dinner,Paid bill,1099.63,Expense,INR,
2025-05-02,Debit Card,subscription,DishTV,Paid bill,299.77,Expense,INR,
11/7/2017,Saving Bank account 1,family,Pocket money,,5000.0,Expense,INR,
2025-03-18,UPI,money transfer,Money transfer,Train ticket,3755.08,Expense,INR,
2025-01-01,Debit Card,culture,Movie,UPI transfer,1522.25,Expense,INR,
2025-06-22,Credit Card,health,Medicine,Online course,4874.2,Income,INR,
2025-04-20,Debit Card,household,Appliances,Movie night,2971.6,Expense,INR,
1/1/2015,Cash,food,,tea,10.0,Expense,INR,
23/03/2015 13:17:56,Cash,water (jar /tanker),,refilling,20.0,Expense,INR,
3/8/2018,Saving Bank account 1,other,,From Family,100.0,Income,INR,
30/08/2017 21:59:50,Saving Bank account 1,health,Medicine,5 Meftal spas,22.0,Expense,INR,
2025-06-09,UPI,subscription,Spotify,Lunch at cafe,25.0,Expense,INR,
1/4/2017,Cash,food,Grocery,Half kg potato,10.0,Expense,INR,
29/01/2017 19:26:04,Cash,food,snacks,2 Shegaon kachori (nasik),30.0,Expense,INR,
2025-05-31,UPI,subscription,Spotify,Paid bill,179.0,Expense,INR,
2025-06-02,Cash,food,snacks,Medical bill,822.57,Expense,INR,
2025-04-07,UPI,transportation,auto,Online course,429.37,Expense,INR,
2025-02-07,Cash,recurring deposit,Recurring Deposit,Movie night,4592.98,Expense,INR,
2025-04-15,Cash,beauty,grooming,Paid bill,2137.38,Expense,INR,
2025-01-11,Cash,tourism,Trip,Festival shopping,659.87,Expense,INR,
10/3/2016,Saving Bank account 1,investment,RD,,1000.0,Expense,INR,
2025-04-01,Cash,apparel,Clothing,Subscription renewal,259.47,Expense,INR,
22/01/2018 10:25:11,Saving Bank account 1,food,Milk,1 lit ,69.0,Expense,INR,
2025-05-27,Debit Card,self-development,Self-development,Paid bill,2483.97,Income,INR,
5/6/2017,Cash,health,Medicine,3 Sinarest,18.0,Expense,INR,
2025-05-26,Cash,subscription,Amazon Prime,Medical bill,599.0,Expense,INR,
2024-12-31,UPI,rent,Rent,Train ticket,2622.0,Expense,INR,
2025-03-09,UPI,self-development,Self-development,Movie night,1567.56,Expense,INR,
1/6/2017,Cash,maid,,,1000.0,Expense,INR,
2025-01-21,UPI,beauty,grooming,Medical bill,3319.79,Income,INR,
2025-05-24,Credit Card,beauty,grooming,Movie night,85.32,Expense,INR,
27/09/2017 15:53:49,Saving Bank account 1,gift,,farewell contribution,334.0,Expense,INR,
2025-03-06,Netbanking,beauty,grooming,Lunch at cafe,842.55,Expense,INR,
2025-05-07,Netbanking,subscription,Airtel,Subscription renewal,4484.37,Expense,INR,
2025-04-13,UPI,education,Stationary,Online course,3583.56,Expense,INR,
30/08/2018 21:09:51,Cash,household,Kirana,Supermart,343.0,Expense,INR,
2025-02-07,UPI,water (jar /tanker),water (jar /tanker),Festival shopping,3521.82,Expense,INR,
2025-01-01,Cash,apparel,Clothing,Bought groceries,2203.36,Expense,INR,
2025-06-08,Cash,recurring deposit,Recurring Deposit,Lunch at cafe,719.17,Expense,INR,
2025-03-16,Cash,transportation,auto,Online course,2248.77,Expense,INR,
2025-06-01,Netbanking,subscription,Airtel,Paid bill,4903.29,Expense,INR,
2025-01-06,Netbanking,water (jar /tanker),water (jar /tanker),Lunch at cafe,4400.46,Expense,INR,
5/11/2017,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,200.0,Expense,INR,
5/7/2018,Cash,food,Tea,cutting chai,7.0,Expense,INR,
2025-03-28,Cash,subscription,Edtech Course,Online course,966.41,Expense,INR,
2025-06-14,Cash,food,Dinner,Lunch at cafe,2286.46,Expense,INR,
24/02/2018 20:02:05,Saving Bank account 1,food,Bread,Flatbread 12 pcs,40.0,Expense,INR,
1/9/2015,Saving Bank account 1,public provident fund,,,10000.0,Expense,INR,
2025-05-23,Debit Card,food,Grocery,UPI transfer,2422.61,Expense,INR,
2025-06-04,Netbanking,education,Stationary,Online course,3956.87,Expense,INR,
2025-01-13,Cash,rent,Rent,Train ticket,2981.47,Expense,INR,
1/1/2018,Credit Card,subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,482.0,Expense,INR,
11/9/2017,Saving Bank account 1,food,Grocery,vegetables,285.0,Expense,INR,
2025-03-18,Debit Card,beauty,grooming,Bought groceries,980.94,Expense,INR,
2025-05-19,Credit Card,tourism,Trip,Train ticket,2056.65,Expense,INR,
1/12/2015,Saving Bank account 1,public provident fund,,,10000.0,Expense,INR,
2025-03-02,Cash,food,Lunch,UPI transfer,2852.86,Expense,INR,
2025-05-30,UPI,household,Kirana,Paid bill,3534.43,Expense,INR,
2025-03-03,UPI,culture,Movie,Online course,4098.52,Expense,INR,
2025-03-10,UPI,apparel,Clothing,Bought groceries,1210.03,Expense,INR,
2025-02-11,UPI,household,Appliances,Bought groceries,3555.12,Expense,INR,
2025-04-16,Debit Card,culture,Movie,Subscription renewal,2241.19,Expense,INR,
2025-05-23,Cash,apparel,Footwear,Paid bill,3923.57,Expense,INR,
2025-03-12,Credit Card,transportation,Taxi,Festival shopping,4448.34,Expense,INR,
2025-06-10,Debit Card,gift,Gift,Festival shopping,2037.15,Expense,INR,
2025-02-28,Credit Card,social life,Leisure,Subscription renewal,4160.49,Expense,INR,
2025-04-14,Credit Card,investment,Mutual fund,Train ticket,859.99,Expense,INR,
7/8/2017,Saving Bank account 1,family,Pocket money,,5000.0,Expense,INR,
31/08/2017 06:56:39,Saving Bank account 1,gpay reward,,,14.0,Income,INR,
3/9/2018,Cash,family,Pocket money,,2000.0,Expense,INR,
2025-06-20,Cash,food,Dinner,Medical bill,2802.32,Expense,INR,
2025-04-02,Credit Card,recurring deposit,Recurring Deposit,Movie night,66.43,Expense,INR,
4/12/2016,Cash,food,fruits,8 bananas,20.0,Expense,INR,
8/7/2017,Saving Bank account 1,food,Eggs,4 eggs,26.0,Expense,INR,
12/12/2017,Cash,food,Eggs,6 eggs,40.0,Expense,INR,
2025-02-09,UPI,water (jar /tanker),water (jar /tanker),Bought groceries,4152.68,Expense,INR,
14/04/2017 20:04:31,Saving Bank account 1,family,Pocket money,,5000.0,Expense,INR,
2025-01-01,UPI,household,Appliances,Lunch at cafe,1163.44,Expense,INR,
2025-01-14,Debit Card,food,snacks,Festival shopping,1852.25,Expense,INR,
4/7/2017,Saving Bank account 1,food,Grocery,Dalich peeth pav kg,25.0,Expense,INR,
2025-06-05,Netbanking,public provident fund,Public Provident Fund,UPI transfer,1545.06,Expense,INR,
2025-01-18,Credit Card,food,snacks,Train ticket,3668.49,Expense,INR,
3/7/2018,Saving Bank account 1,dividend earned on shares,,Infosys Stocks,52.5,Income,INR,
17/02/2018 23:12:28,Credit Card,food,Dinner,BBQ,1783.0,Expense,INR,
2025-06-18,Netbanking,education,Stationary,Online course,2956.71,Expense,INR,
1/3/2015,Saving Bank account 1,food,Lunch,chicken manchow soup,88.0,Expense,INR,
6/5/2017,Cash,food,snacks,Veg puff,20.0,Expense,INR,
2025-02-11,Debit Card,subscription,Netflix,Subscription renewal,199.0,Expense,INR,
15/02/2015 19:57:00,Cash,other,,Internet renewal,500.0,Expense,INR,
2025-03-11,Debit Card,other,Donation,Train ticket,540.59,Expense,INR,
2025-05-15,UPI,transportation,Taxi,UPI transfer,3347.57,Expense,INR,
2025-05-24,UPI,public provident fund,Public Provident Fund,UPI transfer,4679.58,Expense,INR,
2025-03-04,Debit Card,transportation,Taxi,Bought groceries,4819.64,Expense,INR,
2025-02-14,Debit Card,festivals,Holi,UPI transfer,1357.21,Expense,INR,
2025-01-15,Debit Card,tourism,Trip,Movie night,809.3,Expense,INR,
26/04/2018 11:30:19,Cash,family,Pocket money,,1000.0,Expense,INR,
2025-02-12,Credit Card,subscription,Tata Sky,Paid bill,4080.59,Expense,INR,
2025-01-29,Cash,food,snacks,Bought groceries,1644.91,Expense,INR,
2025-03-12,UPI,food,Grocery,Medical bill,4020.59,Expense,INR,
18/07/2017 20:59:33,Saving Bank account 1,household,Hardware,Pakad,240.0,Expense,INR,
2025-06-06,Credit Card,household,Appliances,Online course,1849.47,Income,INR,
11/7/2017,Saving Bank account 1,education,Stationary,Black Ball pen,10.0,Expense,INR,
2025-01-17,UPI,food,Lunch,Subscription renewal,4654.55,Expense,INR,
2025-04-17,Cash,festivals,Diwali,Bought groceries,4187.79,Expense,INR,
2025-06-12,Credit Card,transportation,Taxi,Paid bill,1088.4,Expense,INR,
9/7/2017,Credit Card,household,Kirana,,2923.0,Expense,INR,
23/02/2015 09:19:54,Saving Bank account 1,other,,splitwise settlement,4118.0,Expense,INR,
31/08/2018 15:12:20,Cash,family,Pocket money,,1000.0,Expense,INR,
2025-01-25,Debit Card,tourism,Trip,Movie night,3907.59,Expense,INR,
2025-02-22,Credit Card,subscription,Tata Sky,Festival shopping,374.82,Expense,INR,
2025-02-03,Netbanking,subscription,Edtech Course,UPI transfer,2703.28,Expense,INR,
2025-01-25,UPI,transportation,Train,Movie night,1453.54,Expense,INR,
2025-03-04,Netbanking,water (jar /tanker),water (jar /tanker),UPI transfer,3682.61,Expense,INR,
2025-04-29,UPI,health,Medicine,Lunch at cafe,600.79,Expense,INR,
2025-04-20,Netbanking,tourism,Trip,Train ticket,3164.81,Expense,INR,
2025-05-07,UPI,subscription,Spotify,Train ticket,119.0,Expense,INR,
2025-05-20,Cash,subscription,Edtech Course,Lunch at cafe,1523.38,Expense,INR,
2025-02-13,Credit Card,beauty,grooming,Movie night,2510.23,Expense,INR,
2025-05-11,Netbanking,other,Donation,Lunch at cafe,838.68,Expense,INR,
2024-12-30,Debit Card,apparel,Clothing,UPI transfer,4280.4,Expense,INR,
15/01/2017 08:25:53,Cash,food,Grocery,fruits and vegetables + kirana,540.0,Expense,INR,
2025-03-21,UPI,apparel,Footwear,Online course,2590.77,Expense,INR,
24/03/2015 08:52:41,Cash,food,Milk,,26.0,Expense,INR,
2025-01-27,Debit Card,subscription,Tata Sky,Festival shopping,2387.02,Expense,INR,
2025-04-15,Cash,family,Pocket money,Lunch at cafe,3453.23,Expense,INR,
2025-01-29,Cash,education,Stationary,Paid bill,2537.4,Expense,INR,
2025-06-10,UPI,gift,Gift,Subscription renewal,1630.56,Expense,INR,
30/09/2017 20:22:53,Cash,food,Grocery,vegetables,30.0,Expense,INR,
2025-03-29,Netbanking,apparel,Footwear,Festival shopping,4729.89,Income,INR,
28/11/2017 17:35:35,Saving Bank account 1,food,Bread,Sweet bread cake pav kg,90.0,Expense,INR,
2025-06-07,Cash,subscription,Amazon Prime,Medical bill,599.0,Expense,INR,
18/12/2017 06:00:09,Credit Card,apparel,Clothing,undergarment single,312.0,Expense,INR,
30/11/2017 08:55:08,Cash,family,Pocket money,Change,50.0,Expense,INR,
2025-02-04,Netbanking,subscription,Amazon Prime,Movie night,1499.0,Expense,INR,
2025-03-30,Credit Card,subscription,Airtel,Festival shopping,1424.63,Expense,INR,
2025-04-11,Cash,household,Kirana,Train ticket,449.96,Expense,INR,
2024-12-26,Debit Card,culture,Movie,Festival shopping,4522.78,Expense,INR,
2025-02-09,Netbanking,subscription,Amazon Prime,Train ticket,299.0,Expense,INR,
2025-06-23,Debit Card,festivals,Holi,UPI transfer,686.05,Income,INR,
2025-06-10,Credit Card,transportation,Taxi,Train ticket,4077.75,Expense,INR,
4/11/2016,Cash,festivals,Diwali,firecracker,50.0,Expense,INR,
7/5/2017,Saving Bank account 1,food,snacks,Chicken manchow soup,98.0,Expense,INR,
23/07/2017 16:02:41,Cash,household,Appliances,For tata sky installation (100 rs given by Family ),200.0,Expense,INR,
2024-12-26,Credit Card,health,Medicine,Subscription renewal,4192.56,Expense,INR,
2025-05-30,Netbanking,self-development,Self-development,Movie night,4165.37,Expense,INR,
2025-01-11,Credit Card,social life,Leisure,Movie night,1761.24,Expense,INR,
2025-03-09,UPI,subscription,Airtel,Paid bill,3657.95,Expense,INR,
2025-01-05,Debit Card,subscription,Airtel,Lunch at cafe,174.99,Expense,INR,
2025-04-20,Cash,tourism,Trip,Movie night,4039.55,Expense,INR,
2025-03-06,Credit Card,water (jar /tanker),water (jar /tanker),Bought groceries,1788.77,Expense,INR,
2025-05-23,Netbanking,apparel,Footwear,Lunch at cafe,2540.08,Expense,INR,
10/5/2017,Saving Bank account 1,food,Dinner,4 chapati,20.0,Expense,INR,
2025-01-27,Cash,transportation,auto,Subscription renewal,2111.53,Expense,INR,
2025-04-12,Debit Card,tourism,Trip,Online course,1171.51,Expense,INR,
2025-01-27,UPI,subscription,Edtech Course,UPI transfer,891.44,Expense,INR,
2025-04-13,UPI,subscription,Edtech Course,Paid bill,1936.48,Expense,INR,
2025-01-12,Debit Card,subscription,Amazon Prime,Online course,1499.0,Expense,INR,
2025-05-14,Cash,other,Donation,Online course,3722.05,Expense,INR,
5/6/2015,Saving Bank account 1,investment,Mutual fund,ICICI prudential,1000.0,Expense,INR,
2025-02-25,Cash,gift,Gift,Lunch at cafe,4317.04,Expense,INR,
2025-01-02,Netbanking,apparel,Footwear,Festival shopping,1570.89,Income,INR,
19/11/2016 11:58:28,Cash,food,beverage,lemon juice ( 20/person),40.0,Expense,INR,
2025-05-26,Netbanking,food,snacks,Paid bill,2852.77,Expense,INR,
2025-06-01,Netbanking,public provident fund,Public Provident Fund,Festival shopping,1763.46,Expense,INR,
14/05/2017 20:06:03,Saving Bank account 1,household,Kirana,Shev bhaji sev,50.0,Expense,INR,
2025-06-18,Debit Card,food,Dinner,Train ticket,3457.29,Expense,INR,
4/7/2018,Cash,beauty,grooming,Shaving,50.0,Expense,INR,
2025-01-15,Credit Card,subscription,Edtech Course,Lunch at cafe,2838.29,Income,INR,
2025-05-13,Cash,subscription,Tata Sky,Subscription renewal,675.85,Expense,INR,
28/07/2017 11:31:24,Credit Card,health,Hospital,Hospital consultation,3050.0,Expense,INR,
2025-03-31,Cash,beauty,grooming,Online course,3854.08,Income,INR,
4/1/2018,Cash,household,Kirana,Nandadip oil bottle,130.0,Expense,INR,
2025-06-22,Credit Card,transportation,Train,Paid bill,1851.75,Expense,INR,
2025-05-27,UPI,education,Stationary,Medical bill,289.04,Expense,INR,
2025-02-25,Netbanking,water (jar /tanker),water (jar /tanker),Subscription renewal,1185.58,Expense,INR,
2025-03-27,Debit Card,investment,Mutual fund,Medical bill,4131.24,Expense,INR,
2025-05-17,UPI,food,Lunch,Bought groceries,3530.67,Expense,INR,
2025-05-14,UPI,subscription,Tata Sky,Paid bill,4235.16,Expense,INR,
3/3/2015,Cash,health,Hospital,root canal advance,3000.0,Expense,INR,
2025-01-27,Netbanking,subscription,Amazon Prime,Medical bill,599.0,Expense,INR,
15/02/2017,Saving Bank account 1,life insurance,,,11286.0,Transfer-Out,INR,
2025-03-01,Credit Card,food,Lunch,Festival shopping,2166.39,Expense,INR,
10/6/2015,Saving Bank account 1,other,,Tambola,50.0,Expense,INR,
2025-04-21,Debit Card,beauty,grooming,Movie night,1757.52,Expense,INR,
5/7/2016,Saving Bank account 1,subscription,Mobile Service Provider,,251.0,Expense,INR,
28/03/2016 15:20:05,Saving Bank account 1,other,,hit spray(99)+biscuits+mask,159.0,Expense,INR,
10/10/2016,Saving Bank account 1,investment,Mutual fund,,1000.0,Expense,INR,
5/12/2017,Saving Bank account 1,subscription,Edtech Course,,2700.0,Expense,INR,
2025-01-03,Cash,subscription,Netflix,UPI transfer,649.0,Expense,INR,
2025-01-10,Cash,subscription,Airtel,Movie night,2689.45,Expense,INR,
2025-05-19,UPI,family,Pocket money,Festival shopping,841.82,Expense,INR,
2025-01-02,Netbanking,money transfer,Money transfer,UPI transfer,235.05,Expense,INR,
2025-03-22,Netbanking,public provident fund,Public Provident Fund,Festival shopping,2967.43,Expense,INR,
2025-04-27,Cash,self-development,Self-development,UPI transfer,2543.32,Expense,INR,
1/1/2015,Cash,transportation,,share auto - Place H to Place T base,20.0,Expense,INR,
2025-06-08,Debit Card,grooming,Saloon,Lunch at cafe,755.78,Expense,INR,
2025-03-24,Credit Card,apparel,Footwear,UPI transfer,4629.05,Expense,INR,
29/10/2017 22:56:05,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR,
1/5/2017,Cash,transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,
18/05/2017 16:11:26,Saving Bank account 1,food,vegetables,,60.0,Expense,INR,
2024-12-28,Cash,food,Dinner,Online course,86.43,Expense,INR,
2025-01-29,UPI,social life,Leisure,UPI transfer,1440.98,Expense,INR,
10/1/2015,Saving Bank account 1,transportation,,travels - brc to pune,650.0,Expense,INR,
3/5/2015,Cash,cook,,,5000.0,Expense,INR,
2025-03-28,UPI,public provident fund,Public Provident Fund,Subscription renewal,3023.17,Expense,INR,
2025-01-23,Cash,culture,Movie,Train ticket,3614.01,Expense,INR,
2025-03-14,Credit Card,subscription,Spotify,Bought groceries,7.0,Income,INR,
15/01/2018 16:54:35,Cash,food,Grocery,onion 1 kg + half kg potato,38.0,Expense,INR,
